country;1995-1999;2000-2004;2005-2009;2010-2014
Slovak Republic;72,74;73,72;74,62;76,16
Slovenia;75;76,48;78,28;80,06
Solomon Islands;61,28;61,22;61,18;62,14
Somalia;51,44;52,76;54,36;55,18
South Africa;61,04;53,26;51,74;57,48
South Korea;74,96;76,82;79,14;80,58
South Sudan;53,5;55,22;57,1;58,38
Spain;78,66;79,82;81,06;82,36
Sri Lanka;72,26;72,66;74,22;76,04
St. Lucia;73,74;74,06;74,86;75,98
St. Vincent and the Grenadines;70,44;70,62;71,44;71,54
Sudan;61,12;63,48;65,54;66,84
Suriname;70,24;69,4;69,76;70,66
Swaziland;54,76;44,62;43,84;50,44
Sweden;79,22;79,96;80,9;81,8
Switzerland;79,14;80,34;81,6;82,6
Syria;72,52;73,98;75,32;71,18
Tajikistan;64,1;65,94;68,38;70,5
Tanzania;52,62;53,84;56,98;60,86
Thailand;71,22;72,78;75,12;77,1
Timor-Leste;60,48;64,84;69,06;71,9
Togo;56,64;56,22;57,18;60,22
Tonga;68,58;69;69,3;70,04
Trinidad and Tobago;69,38;70,18;71,98;72,8
Tunisia;73,92;75,42;76,4;77,1
Turkey;71,76;75,22;77,8;78,44
Turkmenistan;63,12;64,3;66,34;68,78
Uganda;47,46;50,2;54,38;58,74
Ukraine;67,34;67,66;68,1;71,12
United Arab Emirates;74;75,46;76,72;76,44
United Kingdom;77,06;78,26;79,56;80,6
United States;76,44;77,16;78,12;78,84
Uruguay;73,94;75;75,92;76,6
Uzbekistan;66,12;66,46;67,56;69,3
Vanuatu;62,02;62,32;62,54;63,3
Venezuela;73,06;74,42;75;75,4
Vietnam;70;71,1;72,28;73,58
Yemen;61,28;63,54;65,94;67,98
Zambia;45,24;44,46;48,12;54,48
Zimbabwe;50,72;45,78;46,32;53,64
