country;wave1
Albania;95,5
Azerbaijan;89,6
Argentina;96,7
Australia;86,2
Bangladesh;99
Armenia;93,6
Brazil;99,2
Bulgaria;83,4
Belarus;83,4
Chile;92,1
China;91,2
Taiwan;90,2
Colombia;98,9
Croatia;90,5
Czech Rep.;84,1
Dominican Rep.;92,4
El Salvador;98,1
Estonia;91,8
Finland;85,9
Georgia;79,4
Germany;86,6
Hungary;86,7
India;97,2
Japan;87,5
South Korea;91,1
Latvia;90,5
Lithuania;89,9
Mexico;91,6
Moldova;84,9
New Zealand;85,6
Nigeria;97,2
Norway;93,3
Pakistan;92,4
Peru;95,6
Philippines;97,7
Poland;93,7
Puerto Rico;95,9
Romania;93,4
Russia;82,7
Slovakia;88,7
Slovenia;93,9
South Africa;93,1
Spain;89,7
Sweden;93,8
Switzerland;88,2
Turkey;94,7
Ukraine;82,7
Macedonia;90,1
United States;85,7
Uruguay;94,8
Venezuela;98,1
Serbia;91,1
Montenegro;86,6
Bosnia;95,9
